LINK ID,Final_CO2_Hour_0,Final_CO2_Hour_1,Final_CO2_Hour_2,Final_CO2_Hour_3,Final_CO2_Hour_4,Final_CO2_Hour_5,Final_CO2_Hour_6,Final_CO2_Hour_7,Final_CO2_Hour_8,Final_CO2_Hour_9,Final_CO2_Hour_10,Final_CO2_Hour_11,Final_CO2_Hour_12,Final_CO2_Hour_13,Final_CO2_Hour_14,Final_CO2_Hour_15,Final_CO2_Hour_16,Final_CO2_Hour_17,Final_CO2_Hour_18,Final_CO2_Hour_19,Final_CO2_Hour_20,Final_CO2_Hour_21,Final_CO2_Hour_22,Final_CO2_Hour_23
1063449,5140.543845973154,3271.5131939461085,2299.8521031937307,4091.1307699718914,2593.0125516125427,4384.213671995741,7195.843779718374,8640.575861815032,6838.146400132487,7133.329759948429,7678.760490248751,6485.126707309857,6242.0295572039395,6050.3092064440825,6506.787383495963,6398.769482339918,5693.807058054898,5459.214977140904,5384.836227275776,6388.7182729299375,4327.485974137127,5009.337227720283,4700.357347287494,1668.6365648048402
1063450,7892.756984440203,6541.579779484847,6385.937944783758,5763.521767250586,10095.103195181628,14340.162712798092,20059.50283619159,24934.05022719421,20401.526172026402,21323.69822083878,17803.482332093714,18282.396413026163,21589.147951453488,19969.52387167613,19775.192595942444,17188.943127258623,15445.028384833893,16812.728628257708,15751.589378840194,18561.98354352312,15052.139251737019,14766.787787822268,12382.286657576622,9929.282666032957
1063459,128955.74595195767,110688.19521944378,96886.07802488387,96386.38843714961,123463.28583709113,261765.7216007621,449481.9458490435,536130.7902061895,490987.38417709246,474224.8974244189,511678.26045915653,521618.26856342325,461715.8419277414,444636.6990615241,475996.0996539533,429606.23764957,516840.7861924959,476814.09438225185,455391.2775962806,427917.34846578405,404833.24304804043,319528.67510930845,258506.99860149738,164061.055119622
1063465,40907.67068575093,36096.02820674392,45868.65359689426,42726.540177199444,94337.82845336021,148218.12476670166,204963.39653391828,232249.66749111048,193242.9588615168,188361.77404972463,189060.70926084986,169362.289927267,181662.39352526935,183709.77352816885,185717.2597341546,181071.6031505448,170631.33722385182,132316.58578296864,120081.26198540513,119016.35876160717,96951.27551022242,75677.61548189088,70798.86954829459,90146.42864892993
1063466,7330.820630349036,4187.877434096812,1952.078969927517,1816.502944365,5219.422095936925,16885.441496174302,33889.11407669264,41018.48191329672,29988.98915166394,31929.85676900915,20151.775129840877,19370.409584223165,30163.206485365572,35374.66336743576,35248.408646274416,30152.08881251081,31025.63474362379,37626.33383638795,41641.79030523672,32849.07024333909,11523.39397342341,12978.360849621698,11453.982891284362,8517.881594137865
1063467,14572.881086366197,12380.474599144549,8188.26025419298,8569.41374246827,26000.38215077266,69487.36892590733,87197.18305185685,95188.6060232479,81418.93974479033,72623.68092518621,76088.6636361004,74292.88816643083,79137.46153877942,75555.0204782202,74731.12444572306,72225.08534563177,71043.80731000962,62833.95801739417,52275.489796817696,43827.75209846164,39584.31609621522,42414.888264612564,35829.27173222586,24162.848392860025
1063468,10091.323361300389,7544.89409689403,4354.800188547028,6459.966791045565,7106.315862578045,21767.73964300638,41199.8317531618,55432.10715032897,49307.58774539052,43835.03846710403,45668.29826929072,43403.65557215286,40781.20491757867,35238.31410324798,33450.38782493906,35056.21611397896,37734.95167986733,40522.79174311501,38991.18017231133,31435.274352864613,29028.4146516739,26872.264070676036,20291.063035817417,16913.264014776873
1063469,20725.486324790152,14832.787224332547,9893.331669480282,7982.372301870179,12457.222753744343,27977.63586826816,37569.41361335981,69021.22449609723,65577.9464377368,51709.36414892727,49891.69525380504,58684.869675972455,60546.07483478886,60327.48946845108,67439.72204896771,70274.71084758782,76249.6734234977,68745.9578413026,63925.54643164175,60615.2657244928,48558.76917320468,44078.135326427706,39797.80131775187,26419.066127430997
1063470,873.654083108855,457.50391947344497,436.1721234062316,496.4885511339675,995.9788793337314,1882.9136151922512,3057.873194580335,4527.685587944775,4957.854872754542,3992.0262549007375,3543.3933508406462,3524.3960779093536,3126.739818264996,3031.3778438212994,3242.260112454716,3371.4823091280996,3731.4134955173827,3814.025483247558,3650.1443885506214,3066.897677888496,2604.6613829354596,2360.335597586961,2097.391656135357,1400.4267238901882
1063471,1481.576546361961,1223.540387297417,806.7071168395837,617.6246634940075,753.3653069107877,1881.6428853207476,2573.7880395936886,4740.636459162684,4502.362007922219,3505.007159297974,3393.087008061329,3765.7095453552784,3935.532377763219,3854.648215648279,4663.58604891333,4875.163901265154,5937.931727391862,5034.415156089622,4512.366698040616,4554.147802299965,4222.11943074621,3846.5070834477237,3125.542391574078,2168.2383490174543
1063473,8578.59129558889,5942.924677250153,3918.2743554689428,4583.446411428999,8236.54080611942,28122.889908830817,44841.88857904116,74558.49653981534,97842.46671210317,87119.22933490941,57034.89556641542,63265.87958916201,66150.27091714313,88013.20473598684,98624.51411246468,100370.48724252415,101233.6848641746,100000.29251193078,109092.95309337007,97264.21751846522,73133.84370446035,64208.261544885834,37665.25403682668,29603.029365362952
