5.5 LINK ID,ITS LINK ID,도로등급,도로명,권역,연장(km),차선수,0~1시,1~2시,2~3시,3~4시,4~5시,5~6시,6~7시,7~8시,8~9시,9~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시
8897046,"11,400,104,011,140,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,신월로,서울특별시 양천구,0.544,6,30,31,32,32,31,32,28,26,25,27,29,31,32,31,31,31,31,29,29,31,32,33,34,36
8897047,"11,400,103,031,140,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,신월로,서울특별시 양천구,0.544,6,28,29,29,29,30,31,30,31,30,32,33,33,33,32,32,32,31,30,30,31,32,35,35,39
8897048,"1,140,003,402,114,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,남부순환로,서울특별시 양천구,0.8,2,49,48,48,47,40,45,32,19,24,26,37,41,42,40,38,38,36,31,30,32,34,40,42,44
8897087,"118,000,750,311,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,여의대방로,서울특별시 영등포구,0.838,6,37,37,39,39,36,38,37,36,38,36,36,35,35,34,34,34,34,37,38,39,38,37,37,32
8897088,"118,000,740,311,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,여의대방로,서울특별시 영등포구,0.838,6,39,40,41,41,41,40,39,33,22,27,32,34,34,34,33,33,30,26,29,34,34,35,35,35
8897091,"117,000,350,011,700,000,000,000,000,000",특별광역시도,범안로,서울특별시 금천구,0.34,4,23,24,24,24,22,25,22,21,20,20,18,17,18,17,17,17,16,15,16,18,21,19,20,22
8897092,"117,000,360,011,700,000,000,000,000,000",특별광역시도,범안로,서울특별시 금천구,0.34,4,22,22,21,21,19,20,17,15,10,14,15,15,15,15,13,12,11,9,10,13,17,19,19,21
8897093,"117,000,220,211,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,금하로,서울특별시 금천구,0.378,4,27,26,27,27,23,24,22,16,14,16,14,15,15,14,13,12,10,10,11,13,16,17,18,19
8897094,"117,000,210,111,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,금하로,서울특별시 금천구,0.378,4,30,32,32,32,28,30,27,24,24,23,23,23,23,22,22,22,21,22,22,22,24,23,24,25
8897095,"1,200,007,004,120,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,봉천로,서울특별시 관악구,1.112,6,44,46,46,45,45,45,44,37,35,37,38,40,40,39,39,39,37,35,34,37,40,41,41,40
8897096,"1,200,006,902,120,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,봉천로,서울특별시 관악구,1.112,6,48,48,49,50,46,49,43,37,37,34,35,36,37,36,35,35,35,35,36,38,41,42,41,42
8897097,"120,000,960,412,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,은천로,서울특별시 관악구,0.692,4,24,25,25,25,23,25,24,22,21,21,21,21,21,21,20,20,19,19,19,20,21,21,22,23
8897098,"120,000,950,312,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,은천로,서울특별시 관악구,0.692,4,28,29,29,29,26,27,27,24,23,24,24,24,24,24,23,23,22,23,23,24,26,25,26,27
8897099,"1,200,009,701,120,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,은천로,서울특별시 관악구,0.82,4,33,33,34,33,31,32,31,28,27,28,28,27,28,27,26,26,25,26,27,27,28,27,28,30
8897100,"1,200,009,805,120,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,은천로,서울특별시 관악구,0.82,4,30,30,30,31,29,30,30,28,26,26,26,26,26,26,25,25,24,25,25,25,26,26,27,28
8897103,"116,002,960,011,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,구일로,서울특별시 구로구,0.376,4,25,25,26,26,21,24,20,17,14,16,17,18,19,17,17,16,14,20,20,21,20,21,21,23
8897104,"116,003,310,011,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,구일로,서울특별시 구로구,0.376,4,33,34,33,34,34,36,33,27,25,27,27,27,27,26,26,26,26,26,21,24,25,26,26,28
8897118,"111,000,300,311,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,수색로,서울특별시 은평구,1.63,6,38,40,41,40,40,37,34,26,24,27,29,29,30,30,28,27,25,23,21,25,30,32,35,38
